X,Y,Z
327730,64,132,-200
327732,64,136,-200
327734,60,136,-200
327736,60,134,-204
327738,66,128,-192
327740,62,136,-200
327742,64,134,-202
327744,64,136,-196
327746,60,140,-212
327748,64,138,-196
327750,64,128,-198
327752,66,134,-202
327754,64,136,-208
327756,64,140,-200
327758,70,134,-202
327760,62,136,-210
327762,64,128,-202
327764,62,134,-194
327766,62,132,-208
327768,66,132,-210
327770,64,136,-204
327772,60,134,-220
327774,62,134,-208
327776,64,134,-204
327778,58,132,-202
327780,64,140,-204
327782,64,128,-200
327784,66,136,-206
327786,66,132,-206
327788,68,132,-196
327790,64,132,-202
327792,66,132,-196
327794,62,130,-200
327796,70,132,-204
327798,64,134,-198
327800,64,134,-196
327802,58,136,-194
327804,64,132,-196
327806,62,134,-202
327808,64,132,-198
327810,66,132,-196
327812,64,134,-200
327814,64,134,-206
327816,64,128,-204
327818,64,134,-202
327820,64,128,-204
327822,62,138,-196
327824,64,130,-202
327826,58,132,-214
327828,64,128,-200
327830,64,132,-204
327832,64,134,-200
327834,64,128,-204
327836,68,132,-208
327838,64,134,-210
327840,64,136,-198
327842,64,132,-200
327844,56,134,-206
327846,68,136,-206
327848,64,130,-202
327850,62,138,-200
327852,64,136,-210
327854,62,132,-202
327856,62,134,-204
327858,54,134,-202
327860,64,138,-200
327862,64,136,-210
327864,64,130,-196
327866,64,132,-210
327868,64,138,-198
327870,58,140,-200
327872,62,138,-192
327874,66,128,-200
327876,62,142,-200
327878,68,134,-202
327880,66,140,-202
327882,62,136,-202
327884,64,128,-206
327886,60,134,-204
327888,60,142,-198
327890,68,128,-200
327892,62,134,-212
327894,64,132,-202
327896,64,136,-198
327898,60,132,-188
327900,64,130,-202
327902,62,136,-204
327904,66,136,-200
327906,64,132,-204
327908,64,134,-200
327910,58,134,-198
327912,62,136,-196
327914,64,152,-202
327916,64,136,-208
327918,70,128,-200
327920,62,136,-198
327922,62,134,-202
327924,58,134,-200
327926,66,136,-200
327928,64,138,-200
327930,74,134,-188
327932,64,130,-204
327934,66,134,-194
327936,58,138,-204
327938,64,136,-200
327940,62,130,-206
327942,64,140,-202
327944,62,134,-208
327946,66,136,-194
327948,64,134,-200
327950,62,134,-202
327952,64,132,-204
327954,64,134,-202
327956,66,128,-196
327958,62,136,-212
327960,64,134,-200
327962,64,128,-204
327964,64,136,-186
327966,64,132,-198
327968,62,130,-202
327970,66,132,-208
327972,60,140,-212
327974,64,134,-204
327976,70,122,-202
327978,58,136,-200
327980,62,130,-202
327982,64,130,-198
327984,68,130,-196
327986,64,132,-204
327988,64,136,-210
327990,64,128,-208
327992,54,132,-204
327994,60,132,-202
327996,66,140,-206
327998,64,130,-200
328000,62,136,-216
328002,64,128,-198
328004,64,136,-196
328006,66,130,-188
328008,62,134,-200
328010,62,132,-198
328012,66,134,-204
328014,64,134,-206
328016,64,128,-198
328018,60,134,-202
328020,64,134,-204
328022,60,142,-208
328024,62,134,-208
328026,64,134,-200
328028,60,134,-206
328030,66,132,-200
328032,64,130,-202
328034,62,134,-206
328036,64,132,-200
328038,62,142,-194
328040,64,134,-204
328042,64,134,-210
328044,64,132,-200
328046,66,134,-204
328048,62,136,-202
328050,64,136,-200
328052,62,138,-196
328054,64,134,-212
328056,64,132,-198
328058,64,124,-200
328060,66,134,-206
328062,68,136,-202
328064,66,132,-196
328066,66,134,-202
328068,64,134,-200
328070,64,128,-202
328072,66,130,-198
328074,64,134,-200
328076,62,132,-204
328078,66,134,-200
328080,64,138,-196
328082,64,138,-204
328084,68,120,-202
328086,54,138,-198
328088,64,132,-200
328090,64,136,-208
328092,72,130,-202
328094,64,136,-196
328096,64,134,-204
328098,64,128,-196
328100,50,134,-210
328102,64,128,-200
328104,64,140,-200
328106,64,136,-194
328108,60,134,-208
328110,62,132,-202
328112,64,130,-204
328114,64,134,-184
328116,64,130,-206
328118,64,134,-196
328120,56,138,-214
328123,64,128,-202
328125,64,128,-202
328127,64,130,-198
328129,64,128,-198
328131,64,136,-200
328133,70,128,-206
328135,64,130,-208
328137,64,136,-200
328139,60,134,-208
328141,64,134,-192
328143,66,134,-202
328145,62,136,-204
328147,64,134,-206
328149,60,136,-210
328151,64,134,-194
328153,64,130,-200
328155,66,134,-204
328157,64,136,-204
328159,64,142,-200
328161,62,134,-206
328163,64,132,-216
328165,64,128,-198
328167,68,132,-196
328169,60,132,-204
328171,66,132,-196
328173,64,132,-202
328175,74,134,-194
328177,64,134,-212
328179,64,134,-194
328181,62,136,-198
328183,60,136,-200
328185,66,132,-200
328187,64,130,-204
328189,64,132,-202
328191,62,138,-214
328193,64,128,-196
328195,64,126,-204
328197,62,134,-202
328199,64,136,-196
328201,64,130,-206
328203,64,138,-198
328205,62,134,-208
328207,64,136,-202
328209,64,130,-202
328211,62,128,-208
328213,66,130,-202
328215,62,134,-206
328217,60,142,-204
328219,66,134,-204
328221,62,138,-214
328223,62,128,-202
328225,62,134,-192
328227,64,136,-208
328229,64,134,-208
328231,64,130,-204
328233,60,134,-196
328235,62,130,-202
328237,66,130,-198
328239,58,134,-206
328241,62,136,-202
328243,64,128,-204
328245,64,140,-202
328247,64,130,-204
328249,64,140,-198
328251,62,132,-196
328253,64,128,-200
328255,64,136,-204
328257,60,134,-208
328259,64,130,-200
328261,64,134,-206
328263,60,134,-208
328265,64,124,-198
328267,64,134,-196
328269,64,130,-196
328271,64,134,-202
328273,66,130,-200
328275,64,130,-200
328277,62,140,-200
328279,64,140,-200
328281,58,140,-202
328283,64,136,-198
328285,64,130,-200
328287,64,134,-206
328289,66,130,-208
328291,64,132,-216
328293,66,136,-198
328295,66,126,-200
328297,68,128,-192
328299,60,140,-200
328301,66,132,-206
328303,64,130,-208
328305,60,134,-208
328307,64,136,-202
328309,64,132,-192
328311,56,134,-204
328313,62,134,-204
328315,64,138,-206
328317,64,134,-202
328319,62,130,-210
328321,64,132,-194
328323,62,130,-206
328325,62,136,-202
328327,66,134,-204
328329,66,136,-196
328331,64,132,-206
328333,66,136,-196
328335,64,132,-206
328337,64,120,-208
328339,56,142,-200
328341,64,134,-192
328343,62,138,-204
328345,66,140,-198
328347,62,134,-208
328349,66,136,-204
328351,66,128,-206
328353,54,136,-200
328355,64,134,-202
328357,66,136,-206
328359,64,132,-202
328361,68,130,-200
328364,62,134,-194
328366,64,128,-204
328368,60,132,-200
328370,64,136,-192
328372,64,132,-202
328374,66,140,-206
328376,62,134,-208
328378,64,136,-194
328380,64,132,-202
328382,54,142,-200
328384,64,132,-202
328386,64,130,-200
328388,64,134,-200
328390,70,128,-206
328392,64,134,-196
328394,66,134,-202
328396,64,132,-190
328398,64,130,-202
328400,66,134,-200
328402,64,136,-210
328404,64,132,-206
328406,64,128,-206
328408,66,134,-194
328410,64,134,-210
328412,64,146,-200
328414,64,136,-200
328416,62,132,-214
328418,64,132,-194
328420,64,128,-204
328422,60,132,-204
328424,64,136,-194
328426,64,136,-202
328428,70,132,-200
328430,66,130,-208
328432,64,132,-196
328434,56,134,-202
328436,62,136,-194
328438,66,136,-204
328440,62,130,-204
328442,66,134,-200
328444,64,136,-212
328446,64,134,-202
328448,64,130,-206
328450,66,134,-202
328452,64,130,-202
328454,66,130,-194
328456,64,136,-200
328458,60,136,-206
328460,64,132,-196
328462,64,130,-202
328464,62,134,-198
328466,64,134,-200
328468,62,138,-194
328470,64,134,-202
328472,62,132,-208
328474,68,134,-196
328476,56,142,-198
328478,64,136,-192
328480,64,140,-200
328482,68,136,-208
328484,64,132,-210
328486,68,134,-202
328488,58,136,-198
328490,64,128,-196
328492,64,130,-198
328494,66,136,-202
328496,64,136,-202
328498,64,130,-206
328500,64,134,-202
328502,64,126,-204
328504,58,138,-204
328506,64,134,-198
328508,62,134,-202
328510,70,128,-202
328512,64,136,-200
328514,64,132,-206
328516,64,128,-200
328518,54,134,-202
328520,64,132,-196
328522,64,136,-194
328524,64,134,-198
328526,62,134,-208
328528,64,140,-202
328530,62,128,-200
328532,64,136,-198
328534,64,134,-208
328536,68,142,-200
328538,64,130,-202
328540,68,134,-206
328542,62,134,-202
328544,60,136,-200
328546,60,134,-200
328548,64,128,-196
328550,60,134,-200
328552,68,134,-202
328554,66,130,-202
328556,64,136,-200
328558,64,134,-206
328560,64,128,-196
328562,62,136,-202
328564,62,136,-198
328566,64,132,-204
328568,64,128,-204
328570,60,136,-204
328572,56,134,-198
328574,66,130,-202
328576,64,138,-206
328578,64,140,-200
328580,66,134,-208
328582,62,138,-198
328584,60,134,-200
328586,66,134,-192
328588,64,132,-204
328590,64,140,-204
328592,64,130,-212
328594,64,134,-202
328596,62,134,-200
328598,60,140,-200
328600,64,134,-204
328602,64,142,-206
328604,64,132,-204
328606,66,132,-202
328608,64,134,-202
328610,64,128,-206
328612,56,132,-200
328614,64,136,-196
328616,64,132,-202
328619,68,132,-198
328621,64,128,-204
328623,64,134,-200
328625,64,132,-206
328627,52,136,-198
328629,58,134,-204
328631,66,144,-206
328633,62,132,-202
328635,56,136,-214
328637,64,132,-198
328639,64,140,-194
328641,58,136,-182
328643,64,132,-202
328645,64,134,-202
328647,66,130,-202
328649,62,132,-204
328651,64,134,-198
328653,60,132,-194
328655,56,134,-194
328657,64,134,-198
328659,64,134,-200
328661,72,128,-206
328663,62,132,-194
328665,66,128,-192
328667,58,134,-200
328669,64,130,-200
328671,64,132,-208
328673,74,130,-200
328675,64,134,-208
328677,64,140,-198
328679,58,136,-202
328681,64,138,-198
328683,66,138,-204
328685,64,136,-200
328687,70,132,-202
328689,64,132,-212
328691,64,134,-200
328693,64,128,-200
328695,64,130,-200
328697,64,136,-208
328699,62,138,-202
328701,64,132,-200
328703,64,134,-202
328705,64,126,-204
328707,58,130,-192
328709,66,134,-202
328711,64,134,-206
328713,66,136,-200
328715,64,138,-202
328717,62,132,-198
328719,64,128,-198
328721,64,134,-196
328723,64,134,-208
328725,60,140,-202
328727,68,132,-204
328729,62,134,-208
328731,64,134,-204
328733,60,136,-200
328735,64,130,-200
328737,60,138,-202
328739,74,130,-206
328741,64,134,-204
328743,62,134,-202
328745,56,138,-202
328747,70,130,-196
328749,62,134,-206
328751,64,138,-210
328753,62,134,-210
328755,66,134,-196
328757,68,128,-196
328759,60,136,-202
328761,64,132,-198
328763,64,136,-208
328765,64,128,-200
328767,66,134,-202
328769,64,134,-216
328771,64,128,-204
328773,58,136,-202
328775,64,130,-200
328777,64,132,-206
328779,70,132,-206
328781,62,134,-218
328783,64,132,-194
328785,64,128,-206
328787,64,132,-198
328789,64,136,-204
328791,64,136,-202
328793,64,132,-200
328795,64,136,-198
328797,64,124,-196
328799,60,128,-198
328801,70,130,-200
328803,64,134,-202
328805,66,130,-200
328807,62,130,-194
328809,64,132,-198
328811,62,130,-202
328813,58,128,-200
328815,64,134,-204
328817,64,134,-202
328819,64,136,-204
328821,64,134,-208
328823,64,132,-198
328825,58,128,-204
328827,64,132,-194
328829,66,132,-198
328831,66,138,-202
328833,62,134,-196
328835,66,134,-212
328837,66,128,-200
328839,64,136,-202
328841,64,130,-202
328843,60,138,-202
328845,66,134,-202
328847,64,138,-212
328849,66,134,-196
328851,64,130,-200
328853,66,130,-204
328855,62,132,-204
328857,64,134,-196
328859,64,130,-200
328861,64,130,-200
328863,60,128,-202
328865,60,134,-192
328867,68,132,-198
328869,64,136,-202
328871,64,134,-204
328874,62,134,-196
328876,64,128,-204
328878,64,128,-200
328880,68,132,-196
328882,62,132,-198
328884,68,136,-198
328886,64,132,-204
328888,64,134,-210
328890,64,132,-200
328892,54,136,-204
328894,64,134,-202
328896,64,134,-202
328898,62,136,-202
328900,62,134,-210
328902,62,134,-196
328904,62,128,-200
328906,64,134,-204
328908,62,134,-200
328910,70,132,-196
328912,64,132,-204
328914,64,134,-210
328916,64,128,-200
328918,64,130,-206
328920,64,130,-200
328922,60,134,-208
328924,64,130,-206
328926,58,130,-214
328928,64,134,-200
328930,64,128,-204
328932,62,128,-198
328934,68,132,-202
328936,64,132,-198
328938,68,134,-204
328940,64,132,-208
328942,64,132,-202
328944,60,138,-200
328946,56,136,-204
328948,64,132,-204
328950,64,136,-204
328952,60,136,-196
328954,64,132,-208
328956,64,136,-194
328958,56,138,-204
328960,64,140,-192
328962,64,134,-200
328964,64,140,-200
328966,68,132,-200
328968,58,138,-228
328970,64,134,-202
328972,64,126,-204
328974,60,136,-204
328976,68,134,-196
328978,64,128,-204
328980,64,134,-202
328982,64,132,-206
328984,62,136,-202
328986,64,134,-200
328988,58,136,-204
328990,64,130,-202
328992,64,138,-206
328994,64,136,-202
328996,64,134,-202
328998,64,130,-202
329000,64,128,-206
329002,62,134,-198
329004,64,130,-200
329006,64,134,-200
329008,68,128,-202
329010,62,134,-196
329012,64,132,-206
329014,64,124,-194
329016,58,134,-202
329018,70,128,-192
329020,58,136,-200
329022,64,138,-202
329024,64,140,-198
329026,62,136,-218
329028,62,130,-204
329030,64,128,-202
329032,64,128,-198
329034,66,136,-204
329036,64,140,-200
329038,66,132,-204
329040,62,130,-202
329042,64,124,-202
329044,64,130,-194
329046,58,136,-202
329048,62,132,-198
329050,62,136,-198
329052,62,136,-204
329054,62,138,-208
329056,58,134,-200
329058,58,138,-202
329060,62,136,-190
329062,64,134,-202
329064,64,132,-198
329066,64,132,-202
329068,62,134,-204
329070,62,132,-202
91182506,5,64,128
329073,62,134,-182
329075,64,132,-198
329077,64,134,-206
329079,70,132,-196
329081,64,134,-196
329083,64,130,-198
329085,62,136,-202
329087,64,134,-206
329089,62,150,-206
329091,58,136,-196
329093,62,134,-202
329095,60,134,-202
329097,64,134,-196
329099,62,136,-200
329101,58,134,-198
329103,68,138,-196
329105,74,132,-200
329107,64,136,-206
329109,64,132,-212
329111,64,128,-204
329113,64,134,-206
329115,64,132,-200
329117,64,130,-204
329119,66,132,-196
329121,62,132,-214
329123,64,136,-206
329125,62,138,-198
329127,58,132,-206
329129,64,130,-194
329131,64,132,-196
329133,62,140,-206
329135,60,136,-204
329137,66,136,-200
329139,64,134,-198
329141,56,138,-202
329143,64,134,-204
329145,64,138,-202
329147,64,132,-206
329149,64,138,-208
329151,72,136,-196
329153,54,138,-200
329155,66,134,-194
329157,62,136,-206
329159,64,134,-198
329161,64,132,-210
329163,66,134,-206
329165,66,128,-206
329167,60,132,-200
329169,62,132,-206
329171,66,138,-196
329173,64,132,-202
329175,60,134,-208
329177,64,128,-202
329179,62,132,-200
329181,58,134,-188
329183,60,134,-202
329185,66,132,-202
329187,60,134,-212
329189,64,134,-208
329191,64,126,-200
329193,56,136,-204
329195,64,132,-200
329197,60,146,-208
329199,64,136,-198
329201,60,132,-202
329203,62,136,-198
329205,62,128,-204
329207,54,136,-196
329209,68,130,-198
329211,60,140,-200
329213,74,134,-202
329215,64,136,-194
329217,60,136,-200
329219,64,128,-200
329221,60,136,-192
329223,64,136,-194
329225,64,136,-202
329227,68,134,-200
329229,62,130,-216
329231,64,134,-198
329233,66,126,-196
329235,64,136,-200
329237,64,134,-202
329239,64,134,-200
329241,70,130,-202
329243,64,132,-206
329245,64,128,-202
329247,62,132,-196
329249,60,132,-206
329251,64,134,-204
329253,68,134,-204
329255,62,140,-200
329257,62,136,-202
329259,64,124,-200
329261,68,130,-202
329263,64,138,-202
329265,58,134,-200
329267,64,142,-198
329269,60,138,-202
329271,60,138,-200
329273,64,132,-206
329275,64,136,-196
329277,64,132,-202
329279,62,142,-202
329281,64,138,-194
329283,64,132,-210
329285,64,130,-206
329287,64,134,-202
329289,66,132,-206
329291,62,130,-202
329293,64,130,-202
329295,60,140,-212
329297,64,134,-202
329299,64,128,-200
329301,66,130,-196
329303,62,132,-202
329305,64,140,-204
329307,66,132,-202
329309,60,134,-212
329311,64,134,-202
329313,62,134,-196
329315,64,134,-202
329317,64,136,-204
329319,64,132,-210
329321,58,132,-218
329323,62,136,-210
107763114,5,66,128
329326,64,134,-200
329328,58,136,-204
329330,64,132,-206
329332,64,134,-198
329334,64,132,-202
329336,62,136,-206
329338,68,132,-200
329340,56,142,-208
329342,64,138,-200
329344,64,136,-200
329346,64,138,-206
329348,60,132,-202
329350,64,136,-198
329352,64,132,-202
329354,52,142,-200
329356,64,136,-196
329358,64,144,-204
329360,64,134,-204
329362,60,132,-202
329364,64,134,-204
329366,64,128,-198
329368,58,136,-178
329370,64,136,-198
329372,64,134,-198
329374,64,134,-204
329376,62,132,-204
329378,64,134,-198
329380,56,134,-204
329382,64,130,-198
329384,60,144,-202
329386,62,134,-200
329388,74,128,-204
329390,64,134,-204
329392,66,130,-198
329394,60,136,-202
329396,64,128,-200
329398,64,136,-200
329400,70,128,-204
329402,64,130,-206
329404,64,132,-198
329406,62,128,-206
329408,60,130,-194
329410,64,136,-202
329412,64,134,-204
329414,64,132,-204
329416,64,136,-202
329418,64,134,-196
329420,64,128,-202
329422,64,134,-202
329424,64,140,-204
329426,62,132,-204
329428,60,130,-208
329430,68,136,-202
329432,60,128,-198
329434,64,138,-200
329436,64,132,-202
329438,62,136,-202
329440,68,130,-200
329442,60,134,-206
329444,64,134,-196
329446,60,126,-202
329448,66,134,-194
329450,64,132,-208
329452,64,134,-196
329454,72,130,-198
329456,64,130,-196
329458,68,130,-206
329460,60,134,-204
329462,64,136,-204
329464,66,136,-200
329466,70,130,-198
329468,62,136,-204
329470,60,134,-200
329472,60,140,-196
329474,60,134,-198
329476,66,132,-200
329478,64,134,-210
329480,64,134,-198
329482,62,140,-196
329484,62,136,-196
329486,62,130,-196
329488,64,136,-198
329490,60,142,-202
329492,62,132,-198
329494,66,136,-200
329496,64,130,-196
329498,60,138,-202
329500,64,136,-192
329502,66,128,-208
329504,64,136,-202
329506,62,134,-206
329508,64,134,-200
329510,64,130,-202
329512,54,138,-206
329514,64,134,-202
329516,74,128,-204
329518,66,132,-196
329520,64,132,-212
329522,64,130,-200
329524,62,134,-204
329526,62,136,-204
329528,60,128,-202
329530,66,138,-204
329532,60,134,-196
329534,64,140,-198
329536,64,128,-202
329538,62,136,-200
329540,64,132,-204
329542,62,132,-200
329544,64,134,-202
329546,64,138,-216
329548,64,128,-200
329550,64,138,-204
329552,64,134,-198
329554,64,134,-204
329556,68,132,-204
329558,64,132,-216
329560,58,138,-202
329562,60,128,-202
329564,62,130,-198
329566,66,140,-206
329568,62,132,-198
329570,66,130,-204
329572,64,132,-200
329574,66,128,-204
124212650,5,66,128
329577,64,138,-196
329579,64,134,-206
329581,64,132,-198
329583,70,128,-204
329585,64,130,-200
329587,64,128,-202
329589,64,134,-202
329591,66,134,-198
329593,60,142,-206
329595,62,130,-212
329597,62,136,-204
329599,68,132,-206
329601,62,132,-202
329603,64,130,-202
329605,64,130,-194
329607,62,130,-204
329609,66,130,-208
329611,64,124,-202
329613,62,134,-202
329615,68,128,-198
329617,64,140,-204
329619,66,128,-202
329621,62,132,-206
329623,64,134,-202
329625,64,122,-202
329627,70,132,-202
329629,64,134,-200
329631,64,136,-200
329633,70,132,-202
329635,62,130,-200
329637,62,134,-196
329639,58,134,-202
329641,62,136,-202
329643,62,136,-206
329645,68,132,-198
329647,62,134,-202
329649,64,134,-196
329651,58,134,-202
329653,64,132,-200
329655,64,132,-204
329657,64,136,-206
329659,64,136,-210
329661,64,134,-196
329663,62,136,-206
329665,56,138,-198
329667,62,136,-202
329669,62,130,-202
329671,64,132,-204
329673,66,132,-204
329675,64,134,-210
329677,64,128,-198
329679,66,132,-202
329681,64,132,-208
329683,62,136,-204
329685,64,130,-202
329687,64,134,-220
329689,60,140,-202
329691,64,126,-196
329693,62,134,-200
329695,64,136,-202
329697,62,130,-202
329699,64,136,-200
329701,60,136,-210
329703,72,136,-198
329705,64,128,-200
329707,52,142,-198
329709,62,132,-196
329711,68,132,-200
329713,64,134,-198
329715,62,132,-198
329717,66,130,-196
329719,64,126,-200
329721,60,136,-200
329723,66,136,-198
329725,64,134,-208
329727,64,136,-198
329729,66,136,-202
329731,62,132,-202
329733,64,128,-200
329735,54,136,-202
329737,68,136,-192
329739,62,134,-206
329741,64,136,-204
329743,62,132,-208
329745,64,142,-200
329747,64,128,-196
329749,56,140,-198
329751,68,130,-200
329753,64,138,-204
329755,62,130,-200
329757,64,130,-206
329759,64,132,-204
329761,62,138,-206
329763,64,128,-202
329765,64,138,-204
329767,64,136,-200
329769,66,132,-194
329771,64,138,-198
329773,64,128,-206
329775,64,130,-198
329777,62,134,-204
329779,64,130,-204
329781,64,132,-202
329783,66,132,-208
329785,66,128,-202
329787,62,130,-194
329789,64,130,-202
329791,58,138,-204
329793,62,134,-196
329795,62,136,-198
329797,60,140,-198
329799,52,136,-200
329801,64,128,-198
329803,66,144,-200
329805,66,132,-206
329807,66,134,-200
329809,60,134,-200
329811,68,124,-204
329813,64,134,-178
329815,64,128,-192
329817,60,136,-200
329819,68,128,-202
329821,64,134,-202
329823,64,130,-198
329825,62,134,-200
329827,64,134,-198
329829,64,132,-202
329831,60,132,-202
329833,70,130,-200
329835,64,136,-194
329837,62,128,-202
329839,58,138,-200
329841,64,132,-200
329843,64,134,-202
329845,72,134,-198
329847,64,134,-208
329849,64,138,-200
329851,56,132,-200
329853,60,136,-194
329855,64,134,-202
329857,64,138,-200
329859,64,132,-212
329861,70,132,-200
329863,60,132,-198
329865,56,134,-204
329867,62,132,-206
329869,62,140,-198
329871,66,132,-200
329873,60,136,-210
329875,64,128,-200
329877,56,134,-202
329879,64,134,-192
329881,64,132,-206
329883,64,132,-200
329885,60,130,-208
329887,64,140,-196
329890,64,128,-202
329892,66,132,-200
329894,64,132,-208
329896,64,134,-200
329898,64,134,-212
329900,62,138,-202
329902,64,126,-198
329904,66,132,-200
329906,64,128,-202
329908,60,132,-200
329910,62,134,-202
329912,62,138,-212
329914,62,130,-202
329916,66,136,-192
329918,64,134,-192
329920,64,134,-210
329922,64,132,-204
329924,60,132,-198
329926,62,130,-204
329928,54,132,-194
329930,60,134,-206
329932,72,128,-204
329934,62,134,-198
329936,66,134,-210
329938,60,128,-202
329940,60,142,-204
329942,66,128,-196
329944,66,136,-198
329946,62,136,-206
329948,64,132,-204
329950,64,134,-202
329952,58,140,-202
329954,64,136,-204
329956,64,134,-200
329958,64,128,-198
329960,64,136,-206
329962,68,134,-204
329964,58,132,-198
329966,64,138,-194
329968,64,136,-200
329970,64,140,-196
329972,62,132,-204
329974,64,136,-202
329976,66,130,-200
329978,60,130,-200
329980,64,132,-208
329982,64,140,-206
329984,62,134,-200
329986,64,132,-208
329988,64,132,-204
329990,58,130,-204
329992,64,136,-188
329994,62,132,-206
329996,62,134,-204
329998,60,136,-212
330000,62,134,-202
330002,64,130,-198
330004,62,132,-200
330006,64,132,-206
330008,62,144,-198
330010,64,134,-200
330012,62,134,-216
330014,62,128,-202
330016,66,132,-196
330018,62,134,-200
330020,66,134,-196
330022,64,134,-198
330024,72,138,-192
330026,64,130,-210
330028,64,122,-206
330030,62,132,-198
330032,62,136,-196
330034,66,136,-204
330036,64,140,-202
330038,64,134,-206
330040,64,132,-198
330042,64,132,-204
330044,58,132,-200
330046,64,134,-206
330048,62,140,-206
330050,64,138,-200
330052,62,134,-214
330054,64,132,-200
330056,54,136,-204
330058,64,136,-186
330060,64,134,-202
330062,64,130,-198
330064,64,132,-210
330066,64,136,-194
330068,64,130,-202
330070,62,134,-202
330072,60,134,-202
330074,64,140,-204
330076,64,134,-208
157111722,5,64,132
330079,64,130,-200
330081,66,130,-202
330083,64,138,-196
330085,62,132,-198
330087,68,140,-206
330089,64,130,-204
330091,64,136,-210
330093,68,130,-200
330095,60,134,-192
330097,62,134,-204
330099,64,136,-204
330101,64,136,-212
330103,60,132,-198
330105,60,128,-200
330107,54,136,-198
330109,64,132,-202
330111,64,136,-206
330113,64,134,-198
330115,64,128,-210
330117,62,128,-198
330119,62,134,-204
330121,64,132,-188
330123,62,130,-200
330125,64,134,-200
330127,60,132,-212
330129,60,134,-202
330131,62,134,-198
330133,62,132,-206
330135,58,134,-204
330137,64,146,-204
330139,64,132,-200
330141,58,132,-210
330143,60,134,-196
330145,62,130,-198
330147,56,140,-196
330149,64,134,-196
330151,64,138,-200
330153,72,130,-200
330155,64,134,-208
330157,68,134,-198
330159,56,134,-204
330161,62,134,-192
330163,62,136,-202
330165,64,136,-210
330167,64,132,-204
330169,64,134,-198
330171,64,134,-198
330173,64,128,-202
330175,66,134,-194
330177,62,140,-204
330179,62,134,-196
330181,70,132,-206
330183,64,136,-204
330185,66,126,-204
330187,64,134,-204
330189,64,130,-198
330191,62,138,-198
330193,68,134,-202
330195,64,136,-202
330197,64,134,-198
330199,64,126,-206
330201,68,134,-196
330203,66,138,-202
330205,64,140,-202
330207,70,128,-208
330209,64,138,-198
330211,60,132,-208
330213,64,130,-200
330215,68,130,-194
330217,64,132,-202
330219,66,140,-200
330221,62,136,-202
330223,64,136,-208
330225,64,130,-200
330227,64,134,-200
330229,70,128,-184
330231,64,134,-200
330233,66,132,-196
330235,64,138,-214
330237,64,134,-200
330239,64,128,-200
330241,66,134,-202
330243,62,138,-204
330245,64,144,-204
330247,64,134,-198
330249,60,136,-220
330251,64,132,-198
330253,62,132,-202
330255,62,132,-208
330257,64,136,-202
330259,64,132,-202
330261,68,136,-220
330263,64,136,-210
330265,64,134,-196
330267,58,134,-202
330269,64,134,-206
330271,62,136,-204
330273,64,136,-200
330275,64,136,-194
330277,60,128,-200
330279,60,134,-204
330281,60,132,-204
330283,64,140,-204
330285,70,130,-204
330287,62,130,-196
330289,62,140,-208
330291,64,128,-200
330293,58,136,-196
330295,64,130,-188
330297,62,136,-202
330299,64,132,-206
330301,62,130,-212
330303,60,130,-202
330305,64,130,-200
330307,66,126,-206
330309,62,136,-196
330311,62,136,-204
330313,62,134,-198
330315,66,132,-202
330317,64,134,-194
330319,64,132,-204
330321,64,128,-202
330323,66,130,-196
330325,62,130,-200
330327,72,130,-198
330329,64,132,-202
330331,60,130,-206
330333,64,136,-198
330335,68,132,-208
330337,58,134,-192
330339,66,128,-202
330341,62,134,-200
174478762,5,62,134
330344,64,130,-212
330346,64,132,-194
330348,64,134,-200
330350,60,136,-200
330352,64,134,-194
330354,64,138,-206
330356,68,132,-202
330358,64,130,-200
330360,64,134,-204
330362,56,138,-200
330364,62,134,-196
330366,66,132,-202
330368,64,134,-204
330370,60,134,-204
330372,64,134,-200
330374,60,136,-204
330376,64,128,-196
330378,64,132,-200
330380,64,134,-200
330382,62,130,-208
330384,62,136,-200
330386,62,132,-214
330388,64,128,-198
330390,62,138,-200
330392,66,134,-208
330394,64,132,-202
330396,70,132,-200
330398,62,138,-216
330400,66,132,-206
330402,64,124,-204
330404,62,132,-200
330406,66,132,-208
330408,64,136,-210
330410,72,134,-198
330412,60,138,-198
330414,62,126,-204
330416,62,128,-196
330418,58,136,-206
330420,64,134,-200
330422,62,140,-198
330424,64,134,-198
330426,64,138,-212
330428,64,128,-204
330430,54,134,-204
330432,64,134,-192
330434,64,128,-206
330436,62,134,-200
330438,64,134,-210
330440,64,134,-202
330442,64,128,-208
330444,88,102,-194
330446,2,202,-170
330448,0,236,-154
330450,-24,260,-146
330452,-12,256,-136
330454,-10,272,-144
330456,-32,290,-126
330458,-44,342,-172
330460,-34,384,-244
330462,0,366,-314
330464,30,318,-330
330466,30,280,-320
330468,4,244,-290
330470,28,202,-256
330472,60,192,-266
330474,54,184,-256
330476,58,164,-226
330478,58,136,-322
330480,236,248,-384
330482,202,146,-470
330484,270,318,-446
330486,332,214,-426
330488,348,156,-460
330490,370,142,-426
330492,382,128,-446
330494,412,112,-428
330496,454,104,-466
330498,470,88,-480
330500,476,66,-468
330502,490,64,-468
330504,504,56,-474
330506,492,64,-462
330508,482,60,-420
330510,484,58,-406
330512,468,72,-384
330514,448,76,-364
330516,436,92,-348
330518,408,106,-330
330520,368,130,-308
330522,356,130,-296
330524,332,146,-278
